route_id,start_location,end_location,transport_mode,filename
116247ed-0a92-4a70-aab8-49548139e26a,"Burlington, VT",New York,auto,116247ed-0a92-4a70-aab8-49548139e26a.geojson
a94835a9-86d8-48e7-b6bb-066e52684f5e,New York,"Washington, DC",auto,a94835a9-86d8-48e7-b6bb-066e52684f5e.geojson
4b359ba6-a6e1-4140-8f0e-ef75fabea98e,"Burlington, VT",New Orleans,auto,4b359ba6-a6e1-4140-8f0e-ef75fabea98e.geojson
d6220d07-9986-4766-826b-6aeaa3bdd4cc,Newark Airport,Dublin Airport,plane,great_circle_route_57.geojson
19f65cf0-565e-43d3-a46c-c9cb1477c78f,Dublin Airport,Edinburgh Airport,plane,great_circle_route_58.geojson
d2c3078a-1559-424c-839e-47e950303a1d,Montreal Airport,Anchorage Airport,plane,great_circle_route_59.geojson
7a42ccd4-8564-45c9-bac3-9783b0f1fa0f,Anchorage Airport,Beijing Airport,plane,great_circle_route_60.geojson
5c2e1b46-55ae-4497-bf73-38bd6984797b,JFK New York Airport,Anchorage Airport,plane,great_circle_route_61.geojson
d85fef0f-e801-4587-ba2c-72f27db445a6,Anchorage Airport,Taipei Airport,plane,great_circle_route_62.geojson
95dddd5f-0c44-490c-a6be-ec37098344bd,Taipei Airport,Denpasar Airport,plane,great_circle_route_63.geojson
0d7beefd-6d6a-4c4d-9e2c-95a1de53af54,Seattle Airport,Hong Kong Airport,plane,great_circle_route_64.geojson
3daa86bd-f84b-4844-94c9-01cf228b8c46,Hong Kong Airport,Denpasar Airport,plane,great_circle_route_65.geojson
c6f25157-8951-4270-8f39-9a7f8f39679d,St John,Virgin Gorda,boat,boat_stj_virgin_gorda.geojson
5c556cce-b42d-4ab1-8bfa-6baa0df7ced4,St John,Jost Van Dyke,boat,boat_stj_jost.geojson
561a9992-95d8-4aa4-8af0-9a5e0cfa7ba5,St John,Red Hook,boat,boat_stj_red_hook.geojson
6bdaf337-16a5-4634-92eb-1e6d2a3b243d,Tortola,Anegada,boat,boat_road_town_anegada.geojson
dcee2a71-02f4-492c-aa31-9bda8337f289,La Sirena Station,Drake,boat,boat_corcovado.geojson
f580aad7-27f3-4c55-b865-a258bbee92c2,Puerto Jimenez,Golfito,boat,boat_golfito.geojson
399f9f36-d5d9-4b3d-93e4-3d498181040a,Corcovado,Corcovado,hike,hike_corcovado.geojson
f2de0887-0403-4f4d-9c3f-13ddefac4dac,Amubri,Yorkin,boat,boat_yorkin_amubri.geojson
be96ada9-6375-4d94-a586-02eb8aa92d08,Cerro Chirripo,Cerro Chirripo,hike,hike_chirripo.geojson
b0fc1399-d490-4b4d-927f-fbf072f32954,JFK New York Airport,New Delhi Airport,plane,great_circle_route_75.geojson
e71787c5-ec7b-4ebc-9bbb-a323b446f9e2,Visakhapatnam Airport,Chennai Airport,plane,great_circle_route_76.geojson
ad81aa5a-f468-4a96-85d8-b098276867d0,Chennai Airport,Bangalore Airport,plane,great_circle_route_77.geojson
7a37a90d-4708-4a8c-ad22-fb295238b92d,New Delhi Airport,Calicut Airport,plane,great_circle_route_78.geojson
62f65e95-ec63-446a-a15c-195dae2ebebd,Goa Dabolim Airport,Jaipur Airport,plane,great_circle_route_79.geojson
81ac47d2-688d-48bd-8957-30d974657dbd,Jaipur (Sawai Madhopur),Mumbai,train,train_mumbai_new_delhi.geojson
8329226b-2225-42f7-aa34-83a90e4981c9,Dulles International Airport,Istanbul Airport,plane,great_circle_route_81.geojson
877c7b18-5932-47ed-b19f-a1d0c64def59,Istanbul Airport,Cape Town Airport,plane,great_circle_route_82.geojson
1b30a2d6-87f3-412c-8374-c4aa435fc8ae,Cape Town Airport,"Lome Airport, Togo",plane,great_circle_route_83.geojson
16a05482-7e13-4f70-bf4b-2d9e8883d81c,"Lome Airport, Togo",Dulles International Airport,plane,great_circle_route_84.geojson
4336c9de-3863-410c-9617-d06a7d8b80bf,Cape Town,Lambert's Bay,auto,4336c9de-3863-410c-9617-d06a7d8b80bf.geojson
fc1b0344-6e70-4067-b91d-f22067fea436,Lambert's Bay,"Norotshama River Resort, Namibia",auto,fc1b0344-6e70-4067-b91d-f22067fea436.geojson
5fa4a264-41a8-443d-bdc7-25d4d096040b,"Norotshama River Resort, Namibia","Bethanien, Namibia",auto,5fa4a264-41a8-443d-bdc7-25d4d096040b.geojson
